team,metro,player_count,avg_stars,total_stars
Michigan,"Akron, OH","1","3","3"
Texas,"Albany, GA","1","3","3"
Washington,"Anchorage, AK","1","2","2"
Michigan,"Ann Arbor, MI","5","1.4","7"
Alabama,"Anniston-Oxford, AL","3","2.666666667","8"
Alabama,"Atlanta-Sandy Springs-Roswell, GA","7","3.571428571","25"
Michigan,"Atlanta-Sandy Springs-Roswell, GA","7","2.142857143","15"
Texas,"Austin-Round Rock-San Marcos, TX","15","1.733333333","26"
Washington,"Bakersfield-Delano, CA","1","3","3"
Alabama,"Baltimore-Columbia-Towson, MD","2","4.5","9"
Michigan,"Baltimore-Columbia-Towson, MD","1","5","5"
Alabama,"Baton Rouge, LA","1","4","4"
Texas,"Baton Rouge, LA","1","4","4"
Michigan,"Battle Creek, MI","1","0","0"
Texas,"Beaumont-Port Arthur, TX","1","4","4"
Washington,"Bellingham, WA","6","1.333333333","8"
Alabama,"Birmingham, AL","25","1.64","41"
Texas,"Birmingham, AL","1","4","4"
Washington,"Boise City, ID","2","1.5","3"
Michigan,"Boston-Cambridge-Newton, MA-NH","5","2.8","14"
Washington,"Boston-Cambridge-Newton, MA-NH","1","3","3"
Michigan,"Bridgeport-Stamford-Danbury, CT","3","1.333333333","4"
Alabama,"Cape Coral-Fort Myers, FL","1","5","5"
Michigan,"Cape Coral-Fort Myers, FL","1","0","0"
Alabama,"Charlotte-Concord-Gastonia, NC-SC","1","3","3"
Michigan,"Charlotte-Concord-Gastonia, NC-SC","1","0","0"
Alabama,"Chicago-Naperville-Elgin, IL-IN","1","3","30"
Michigan,"Chicago-Naperville-Elgin, IL-IN","12","2.5","3"
Washington,"Chicago-Naperville-Elgin, IL-IN","1","0","0"
Alabama,"Cincinnati, OH-KY-IN","1","0","7"
Michigan,"Cincinnati, OH-KY-IN","2","3.5","0"
Michigan,"Cleveland, OH","1","0","0"
Michigan,"Colorado Springs, CO","1","3","3"
Alabama,"Columbia, SC","1","0","3"
Michigan,"Columbia, SC","1","3","0"
Alabama,"Columbus, GA-AL","1","5","5"
Michigan,"Columbus, GA-AL","1","4","4"
Michigan,"Columbus, NE","1","3","3"
Michigan,"Columbus, OH","1","3","3"
Alabama,"Dallas-Fort Worth-Arlington, TX","6","2.166666667","113"
Michigan,"Dallas-Fort Worth-Arlington, TX","5","3.2","16"
Texas,"Dallas-Fort Worth-Arlington, TX","38","2.973684211","13"
Washington,"Dallas-Fort Worth-Arlington, TX","3","3","9"
Alabama,"Daphne-Fairhope-Foley, AL","3","0","0"
Michigan,"Dayton-Kettering-Beavercreek, OH","1","3","3"
Michigan,"Denver-Aurora-Centennial, CO","4","3.25","13"
Texas,"Denver-Aurora-Centennial, CO","1","3","7"
Washington,"Denver-Aurora-Centennial, CO","2","3.5","3"
Alabama,"Des Moines-West Des Moines, IA","1","5","5"
Alabama,"Detroit-Warren-Dearborn, MI","2","2.5","40"
Michigan,"Detroit-Warren-Dearborn, MI","20","2","5"
Washington,"Detroit-Warren-Dearborn, MI","2","1.5","3"
Alabama,"Dothan, AL","2","2.5","5"
Alabama,"Enterprise, AL","1","0","0"
Alabama,"Eufaula, AL-GA","1","5","5"
Washington,"Fargo, ND-MN","1","3","3"
Alabama,"Florence-Muscle Shoals, AL","3","1.666666667","5"
Texas,"Fresno, CA","1","5","5"
Washington,"Fresno, CA","2","2.5","5"
Alabama,"Gainesville, FL","1","4","4"
Michigan,"Grand Rapids-Wyoming-Kentwood, MI","1","0","0"
Michigan,"Greenfield, MA","1","0","0"
Washington,"Greenville, MS","1","3","3"
Alabama,"Gulfport-Biloxi, MS","1","4","4"
Michigan,"Hammond, LA","1","3","3"
Michigan,"Hartford-West Hartford-East Hartford, CT","1","4","4"
Alabama,"Hattiesburg, MS","1","0","0"
Alabama,"Houston-Pasadena-The Woodlands, TX","2","4","39"
Texas,"Houston-Pasadena-The Woodlands, TX","21","1.857142857","8"
Washington,"Houston-Pasadena-The Woodlands, TX","1","3","3"
Alabama,"Huntsville, AL","2","0","0"
Texas,"Huntsville, TX","1","3","3"
Michigan,"Jackson, MS","1","0","0"
Michigan,"Jacksonville, FL","1","3","3"
Alabama,"Jefferson, GA","1","5","5"
Michigan,"Kalamazoo-Portage, MI","1","0","0"
Michigan,"Kankakee, IL","1","4","4"
Alabama,"Kansas City, MO-KS","2","4","8"
Michigan,"Kansas City, MO-KS","1","3","3"
Texas,"Killeen-Temple, TX","1","4","4"
Alabama,"LaGrange, GA-AL","1","4","4"
Washington,"Lake Charles, LA","1","4","4"
Michigan,"Lansing-East Lansing, MI","1","0","0"
Washington,"Las Vegas-Henderson-North Las Vegas, NV","3","4","12"
Washington,"Little Rock-North Little Rock-Conway, AR","1","4","4"
Alabama,"Longview, TX","1","5","5"
Texas,"Longview, TX","1","3","3"
Alabama,"Los Angeles-Long Beach-Anaheim, CA","3","1.333333333","28"
Michigan,"Los Angeles-Long Beach-Anaheim, CA","5","3","18"
Texas,"Los Angeles-Long Beach-Anaheim, CA","8","2.25","15"
Washington,"Los Angeles-Long Beach-Anaheim, CA","11","2.545454545","4"
Texas,"Lufkin, TX","1","4","4"
Washington,"Lufkin, TX","1","3","3"
Alabama,"Martin, TN","1","5","5"
Alabama,"Memphis, TN-MS-AR","2","2","4"
Michigan,"Memphis, TN-MS-AR","2","2","4"
Texas,"Memphis, TN-MS-AR","1","4","4"
Alabama,"Miami-Fort Lauderdale-West Palm Beach, FL","4","2.25","9"
Michigan,"Miami-Fort Lauderdale-West Palm Beach, FL","2","3.5","7"
Alabama,"Milwaukee-Waukesha, WI","1","5","5"
Michigan,"Milwaukee-Waukesha, WI","1","0","0"
Washington,"Missoula, MT","1","0","0"
Alabama,"Mobile, AL","2","2.5","5"
Alabama,"Montgomery, AL","5","3.8","19"
