id,name,team,height,weight,year,position,hometown,state,country
4363417,Jaylen Key,Alabama,74,210,4,DB,Tallahassee,FL,USA
4426677,Trezmen Marshall,Alabama,73,236,3,LB,Homerville,GA,USA
4428989,Chris Braswell,Alabama,75,255,4,LB,Baltimore,MD,USA
4429001,Jase McClellan,Alabama,71,212,4,RB,Aledo,TX,USA
4429033,Jermaine Burton,Alabama,72,194,4,WR,Calabasas,CA,USA
4429187,Seth McLaughlin,Alabama,76,305,4,OL,Buford,GA,USA
4431288,Monkell Goodwine,Alabama,75,311,3,DT,Upper Marlboro,MD,USA
4431414,Tim Keenan III,Alabama,74,326,3,DL,Birmingham,AL,USA
4431437,JC Latham,Alabama,78,360,3,OL,Oak Creek,WI,USA
4431500,Kendrick Blackshire,Alabama,73,250,4,LB,Duncanville,TX,USA
4431503,Damon Payne Jr.,Alabama,76,313,3,DL,Belleville,MI,USA
4431506,Ja'Corey Brooks,Alabama,75,195,4,WR,Miami,FL,USA
4431513,Tyler Buchner,Alabama,73,215,4,WR,San Diego,CA,USA
4431529,Jaeden Roberts,Alabama,77,310,3,OL,Houston,TX,USA
4431542,TJ Ferguson,Alabama,76,330,3,OL,Fort Valley,GA,USA
4432725,Deontae Lawson,Alabama,74,239,3,LB,Mobile,AL,USA
4432734,Jalen Milroe,Alabama,74,225,3,QB,Katy,TX,USA
4433975,Kool-Aid McKinstry,Alabama,73,195,3,DB,Birmingham,AL,USA
4489406,Chase Davis,Alabama,73,182,3,DB,Tuscaloosa,AL,USA
4565190,Dallas Turner,Alabama,76,242,3,LB,Fort Lauderdale,FL,USA
4567104,Will Reichard,Alabama,73,194,4,PK,Hoover,AL,USA
4567132,Darrian Dalcourt,Alabama,75,310,4,OL,Havre De Grace,MD,USA
4567138,Justin Eboigbe,Alabama,77,292,4,DL,Forest Park,GA,USA
4567783,James Brockermeyer,Alabama,75,285,3,OL,Fort Worth,TX,USA
4570039,Keanu Koht,Alabama,76,242,3,LB,Vero Beach,FL,USA
4574689,Trey Amos,Alabama,73,200,4,CB,New Iberia,LA,USA
4592570,Ian Jackson,Alabama,74,220,3,LB,Prattville,AL,USA
4592837,Terrion Arnold,Alabama,72,196,2,DB,Tallahassee,FL,USA
4594449,DeVonta Smith,Alabama,72,205,3,DB,Cincinnati,OH,USA
4596545,CJ Dippre,Alabama,77,262,4,TE,SCOTT TOWNSHIP,PA,USA
4602016,Anquin Barnes Jr.,Alabama,77,314,2,DL,Montgomery,AL,USA
4685243,Jeremiah Alexander,Alabama,74,232,2,LB,Alabaster,AL,USA
4685263,Tyler Booker,Alabama,77,325,3,OL,New Haven,CT,USA
4685287,Jihaad Campbell,Alabama,75,244,3,LB,Erial,NJ,USA
4685381,Emmanuel Henderson Jr.,Alabama,73,187,3,WR,Hartford,AL,USA
4685437,Earl Little Jr.,Alabama,73,186,2,DB,Fort Lauderdale,FL,USA
4685441,Kendrick Law,Alabama,71,209,3,WR,Shreveport,LA,USA
4685477,Jam Miller,Alabama,70,218,3,RB,Tyler,TX,USA
4685487,Jehiem Oatis,Alabama,77,325,3,DL,Columbia,MS,USA
4685500,Shawn Murphy,Alabama,74,230,2,LB,Manassas,VA,USA
4685505,Khurtiss Perry,Alabama,74,265,2,DL,Pike Road,AL,USA
4685516,Shazz Preston,Alabama,72,206,2,WR,Saint James,LA,USA
4685519,Elijah Pritchett,Alabama,78,327,2,OL,Columbus,GA,USA
4685522,Ty Simpson,Alabama,74,215,2,QB,Martin,TN,USA
4685723,Roydell Williams,Alabama,70,214,4,RB,Hueytown,AL,USA
4691688,Robbie Ouzts,Alabama,76,270,4,TE,Rock Hill,SC,USA
4692023,Kristian Story,Alabama,73,213,4,DB,Lanett,AL,USA
4692024,Malachi Moore,Alabama,72,201,4,DB,Trussville,AL,USA
4692032,Jordan Smith,Alabama,70,210,4,LB,Chelsea,AL,USA
4692033,Tim Smith,Alabama,76,314,4,DL,Gifford,FL,USA
4692034,Kyle Flood Jr.,Alabama,72,212,4,LB,Middlesex,NJ,USA
4692044,Jah-Marien Latham,Alabama,75,278,4,DL,Reform,AL,USA
4692048,Que Robinson,Alabama,77,241,4,LB,Birmingham,AL,USA
4695287,Jonathan Bennett,Alabama,70,180,4,RB,Birmingham,AL,USA
4695289,Robert Ellis,Alabama,72,220,4,TE,Enterprise,AL,USA
4695294,Charlie Skehan,Alabama,73,235,4,TE,Columbia,SC,USA
4695295,Bennett Whisenhunt,Alabama,73,222,4,LB,Vestavia,AL,USA
4696746,Sam Willoughby,Alabama,70,165,4,WR,,,
4708488,Antonio Kite,Alabama,72,175,2,CB,Anniston,AL,USA
4808839,Isaiah Bond,Alabama,71,180,3,WR,Buford,GA,USA
4837473,Jake Pope,Alabama,73,205,2,DB,Buford,GA,USA
4869534,Amari Niblack,Alabama,76,245,3,TE,Saint Petersburg,FL,USA
4869965,Kobe Prentice,Alabama,70,188,3,WR,Calera,AL,USA
4870595,Olaus Alinen,Alabama,78,335,1,OL,Pori,,Finland
4870689,Sawyer Deerman,Alabama,70,185,1,WR,Northport,AL,USA
4870706,Caleb Downs,Alabama,72,205,2,S,Hoschton,GA,USA
4870760,Justice Haynes,Alabama,71,210,2,RB,Buford,GA,USA
4870776,Jalen Hale,Alabama,73,188,2,WR,Longview,TX,USA
4870778,Edric Hill,Alabama,75,275,1,DL,Kansas City,MO,USA
4870796,Jahlil Hurley,Alabama,74,185,1,DB,Florence,AL,USA
4870819,Eli Holstein,Alabama,76,225,1,QB,Zachary,LA,USA
4870856,Tony Mitchell,Alabama,74,205,1,DB,Alabaster,AL,USA
4870870,Ty Lockwood,Alabama,77,239,1,TE,Thompsons Station,TN,USA
4870878,Hunter Osborne,Alabama,76,298,1,DL,Trussville,AL,USA
4870879,Keon Keeley,Alabama,77,277,1,LB,Tampa,FL,USA
4870899,Miles McVay,Alabama,78,342,1,OL,East Saint Louis,IL,USA
4870900,Dylan Lonergan,Alabama,74,214,1,QB,Snellville,GA,USA
4870969,James Smith,Alabama,75,296,2,DL,Montgomery,AL,USA
4870970,Yhonzae Pierre,Alabama,75,239,1,LB,Eufaula,AL,USA
4870975,Jordan Renaud,Alabama,76,268,1,DL,Sarasota,FL,USA
4870976,Kadyn Proctor,Alabama,79,369,2,OL,Des Moines,IA,USA
4871081,Richard Young,Alabama,71,216,1,RB,Lehigh Acres,FL,USA
4875813,Hayden Neighbors,Alabama,75,185,3,WR,Huntsville,AL,USA
4880041,Kneeland Hibbett,Alabama,74,240,4,LS,Florence,AL,USA
4880045,Graham Roten,Alabama,75,285,4,OL,Fairview,TN,USA
4880046,Adam Thorsland,Alabama,77,232,4,TE,Walhalla,SC,USA
4880048,James Burnip,Alabama,78,236,4,P,Mount Macedon,VIC,Australia
4880051,Reid Schuback,Alabama,72,185,4,PK,Poway,CA,USA
4881430,Kade Wehby,Alabama,69,185,4,LS,Plantation,FL,USA
4888707,Danny Lewis Jr.,Alabama,77,257,2,TE,New Iberia,LA,USA
4899475,Wilkin Formby,Alabama,79,324,1,OL,Tuscaloosa,AL,USA
4900374,Isaiah Hastings,Alabama,76,294,2,DL,Toronto,ON,Canada
4917371,Alex Rozier,Alabama,76,220,3,LS,Hattiesburg,MS,USA
4918121,Cole Adams,Alabama,70,181,1,WR,Owasso,OK,USA
5077638,Bray Hubbard,Alabama,74,204,2,DB,Ocean Springs,MS,USA
5079656,Dezz Ricks,Alabama,73,195,1,DB,Norfolk,VA,USA
5080694,Jax Porter,Alabama,78,232,2,TE,Dallas,TX,USA
5081854,Conor Talty,Alabama,73,198,1,PK,Chicago,IL,USA
5082260,Coby McNeal,Alabama,77,250,3,TE,Dothan,AL,USA
5089445,JD Baird,Alabama,68,190,3,LB,Tuscaloosa,AL,USA
5089446,Upton Bellenfant,Alabama,74,175,2,PK,Brentwood,TN,USA
5089447,Prince Butler,Alabama,73,200,3,DB,Alexandria,VA,USA
5089448,Zarian Courtney,Alabama,74,183,4,WR,Arlington,TX,USA
5089450,Peyton Fox,Alabama,76,225,3,TE,Pelham,AL,USA
5089452,Wilder Hines,Alabama,74,240,2,OL,Birmingham,AL,USA
5089453,Miles Kitselman,Alabama,77,256,4,TE,Lyndon,KS,USA
5089454,Jay Loper Jr.,Alabama,71,180,3,WR,Daphne,AL,USA
5089455,Michael Lorino III,Alabama,72,185,3,RB,Birmingham,AL,USA
5089456,Caleb McDougle,Alabama,71,207,4,DB,Muscle Shoals,AL,USA
5089458,Vito Perri,Alabama,72,205,2,LB,Alpharetta,GA,USA
5089459,Ty Roper,Alabama,68,189,2,DB,Foley,AL,USA
5089461,Nick Serpa,Alabama,76,215,4,P,Foothill Ranch,CA,USA
5089462,Jack Standeffer,Alabama,70,160,2,WR,Tuscaloosa,AL,USA
5093292,Cade Carruth,Alabama,73,195,3,QB,Trussville,AL,USA
5100330,MJ Chirgwin,Alabama,72,195,3,WR,Huntington Beach,CA,USA
5100332,Alijah May,Alabama,71,195,4,DB,Pinson,AL,USA
5100334,Peyton Yates,Alabama,70,180,3,DB,Eads,TN,USA
5104212,Jaren Hamilton,Alabama,73,195,1,WR,Gainesville,FL,USA
5150247,Malik Benson,Alabama,73,195,4,WR,Lansing,KS,USA
5150249,Justin Jefferson,Alabama,73,228,4,LB,Memphis,TN,USA
5150250,Roq Montgomery,Alabama,75,337,1,OL,Anniston,AL,USA
5150251,Qua Russaw,Alabama,74,251,1,LB,Montgomery,AL,USA
5159905,Walter Sansing,Alabama,70,160,2,DB,Homewood,AL,USA
5159906,Kaleb Fleming,Alabama,73,205,3,WR,Macomb,MI,USA
5159907,Jake Ivie,Alabama,72,205,2,LB,Alabaster,AL,USA
5159908,JR Gardner,Alabama,71,185,2,RB,Gulf Shores,AL,USA
5159909,Tonio Ross,Alabama,74,180,1,DB,Alexandria,AL,USA
5159910,Kolby Peavy,Alabama,73,180,2,DB,Monroeville,AL,USA
5159911,Conner Warhurst,Alabama,74,190,2,DB,Russellville,AL,USA
