id,name,stars,school,height,weight,year,position,hometown,state,country
4360423,Michael Penix Jr.,3,Washington,75,213,4,QB,Tampa,FL,USA
4361025,Jack Tuttle,4,Michigan,76,211,4,QB,San Marcos,CA,USA
4361094,Dominique Hampton,3,Washington,75,220,4,CB,Glendale,AZ,USA
4361095,Richard Newton,3,Washington,72,223,4,RB,Lancaster,CA,USA
4361100,Jack Westover,0,Washington,75,248,4,TE,Bellevue,WA,USA
4361105,Zion Tupuola-Fetui,3,Washington,76,254,4,DE,Pearl City,HI,USA
4361107,Ulumoo Ale,3,Washington,78,327,4,DL,Tacoma,WA,USA
4361109,Matteo Mele,3,Washington,78,298,4,OL,Tucson,AZ,USA
4361112,Devin Culp,3,Washington,76,237,4,TE,Spokane,WA,USA
4361113,Tuli Letuligasenoa,4,Washington,73,292,4,DL,Concord,CA,USA
4361991,Cam Goode,3,Michigan,73,314,4,DL,Washington,DC,USA
4362103,Christian Jones,3,Texas,78,321,4,OL,Cypress,TX,USA
4363417,Jaylen Key,3,Alabama,74,210,4,DB,Tallahassee,FL,USA
4369467,Zach Peterson,0,Michigan,73,190,4,WR,Roswell,GA,USA
4372062,Michael Barrett,3,Michigan,72,239,4,LB,Valdosta,GA,USA
4372065,German Green,3,Michigan,74,190,4,DB,Desoto,TX,USA
4374280,Edefuan Ulofoshio,2,Washington,73,236,4,LB,Anchorage,AK,USA
4426352,Jacob Bandes,4,Washington,75,307,4,DL,Pittsburg,CA,USA
4426380,Faatui Tuitele,4,Washington,75,317,3,DL,Honolulu,HI,USA
4426398,David Gbenda,4,Texas,72,235,4,LB,Katy,TX,USA
4426450,Trente Jones,4,Michigan,76,325,4,OL,Grayson,GA,USA
4426479,Cornelius Johnson,4,Michigan,75,208,4,WR,Greenwich,CT,USA
4426638,Karsen Barnhart,4,Michigan,77,316,4,OL,Paw Paw,MI,USA
4426651,Patrick Bayouth,3,Texas,76,281,4,TE,Bellaire,TX,USA
4426677,Trezmen Marshall,4,Alabama,73,236,3,LB,Homerville,GA,USA
4426821,Julius Buelow,4,Washington,80,315,4,OL,Kapolei,HI,USA
4426836,Jett Bush,2,Texas,74,242,4,LB,Houston,TX,USA
4427140,Trevor Keegan,4,Michigan,78,320,4,OL,Crystal Lake,IL,USA
4427160,Kamren Fabiculanan,4,Washington,73,200,4,S,Camarillo,CA,USA
4427170,Troy Fautanu,4,Washington,76,317,3,OL,Henderson,NV,USA
4427219,Drew Fowler,3,Washington,73,222,4,LB,Bellevue,WA,USA
4427294,Ralen Goforth,3,Washington,74,237,4,LB,Long Beach,CA,USA
4427448,LaDarius Henderson,3,Michigan,76,315,4,OL,Waxahachie,TX,USA
4427569,Giles Jackson,4,Washington,69,187,4,WR,Antioch,CA,USA
4427676,Nate Kalepo,4,Washington,78,325,4,OL,Renton,WA,USA
4427736,Caden Kolesar,0,Michigan,70,195,4,DB,Westlake,OH,USA
4428116,Isaiah Neyor,2,Texas,76,220,4,WR,Fort Worth,TX,USA
4428144,Drake Nugent,3,Michigan,74,301,4,OL,Lone Tree,CO,USA
4428414,Mike Sainristil,3,Michigan,70,182,4,DB,Everett,MA,USA
4428617,T'Vondre Sweat,3,Texas,76,362,4,DL,Huntsville,TX,USA
4428713,Bralen Trice,3,Washington,76,274,3,DE,Phoenix,AZ,USA
4428726,Alphonzo Tuputala,3,Washington,74,230,4,LB,Federal Way,WA,USA
4428989,Chris Braswell,5,Alabama,75,255,4,LB,Baltimore,MD,USA
4429000,Myles Hinton,4,Michigan,78,342,4,OL,Johns Creek,GA,USA
4429001,Jase McClellan,5,Alabama,71,212,4,RB,Aledo,TX,USA
4429005,Braiden McGregor,4,Michigan,78,267,4,DE,Port Huron,MI,USA
4429033,Jermaine Burton,4,Alabama,72,194,4,WR,Calabasas,CA,USA
4429040,Vernon Broughton,4,Texas,76,305,4,DL,Houston,TX,USA
4429058,Jaylen Harrell,4,Michigan,76,242,4,DE,Tampa,FL,USA
4429089,Geirean Hatchett,4,Washington,77,312,4,OL,Ferndale,WA,USA
4429096,Blake Corum,4,Michigan,68,213,4,RB,Marshall,VA,USA
4429121,Kalel Mullings,4,Michigan,74,233,4,RB,West Roxbury,MA,USA
4429139,Makari Paige,4,Michigan,76,208,4,DB,West Bloomfield,MI,USA
4429186,Sam Adams II,4,Washington,74,212,3,RB,Kirkland,WA,USA
4429187,Seth McLaughlin,3,Alabama,76,305,4,OL,Buford,GA,USA
4429381,Trill Carter,3,Texas,72,299,4,DL,Leesburg,GA,USA
4429490,Carson Bruener,3,Washington,74,226,4,LB,Woodinville,WA,USA
4429552,Eamonn Dennis,3,Michigan,69,194,4,WR,Worcester,MA,USA
4429694,Makell Esteen,3,Washington,73,202,3,S,Hawthorne,CA,USA
4429913,Quinten Johnson,4,Michigan,71,203,4,DB,Washington,DC,USA
4430565,Will Nixon,3,Washington,71,202,3,RB,Waco,TX,USA
4430616,Asa Turner,4,Washington,75,210,4,DB,Carlsbad,CA,USA
4430637,Ja'Lynn Polk,3,Washington,74,204,2,WR,Lufkin,TX,USA
4430638,Joey Velazquez,3,Michigan,71,226,4,LB,Columbus,OH,USA
4430810,Daniyel Ngata,4,Washington,69,191,4,RB,Folsom,CA,USA
4430814,Jake Majors,4,Texas,75,315,4,OL,Prosper,TX,USA
4430821,Kitan Crawford,4,Texas,71,206,4,S,Tyler,TX,USA
4430834,Jalen McMillan,5,Washington,73,192,3,WR,Fresno,CA,USA
4430835,Alfred Collins,5,Texas,77,320,4,DL,Bastrop,TX,USA
4430876,Roger Rosengarten,4,Washington,78,300,2,OL,Highlands Ranch,CO,USA
4430888,Jerrin Thompson,4,Texas,72,186,4,S,Lufkin,TX,USA
4430915,Reece Atteberry,3,Michigan,77,309,4,DL,Aurora,CO,USA
4430925,Jahdae Barron,4,Texas,71,200,4,DB,Pflugerville,TX,USA
4431212,Junior Colson,4,Michigan,75,247,3,LB,Brentwood,TN,USA
4431214,Hayden Conner,3,Texas,77,320,4,OL,Katy,TX,USA
4431256,Cristian Dixon,4,Michigan,74,197,3,WR,Santa Ana,CA,USA
4431264,Gaard Memmelaar,3,Washington,76,299,3,OL,Caldwell,ID,USA
4431288,Monkell Goodwine,4,Alabama,75,311,3,DT,Upper Marlboro,MD,USA
4431299,Rome Odunze,4,Washington,75,215,3,WR,Las Vegas,NV,USA
4431317,Jeffrey Persi,4,Michigan,80,310,4,OL,Mission Viejo,CA,USA
4431414,Tim Keenan III,4,Alabama,74,326,3,DL,Birmingham,AL,USA
4431437,JC Latham,5,Alabama,78,360,3,OL,Oak Creek,WI,USA
4431492,Roman Wilson,4,Michigan,72,192,4,WR,Honolulu,HI,USA
4431500,Kendrick Blackshire,4,Alabama,73,250,4,LB,Duncanville,TX,USA
4431503,Damon Payne Jr.,5,Alabama,76,313,3,DL,Belleville,MI,USA
4431506,Ja'Corey Brooks,0,Alabama,75,195,4,WR,Miami,FL,USA
4431513,Tyler Buchner,4,Alabama,73,215,4,WR,San Diego,CA,USA
4431529,Jaeden Roberts,4,Alabama,77,310,3,OL,Houston,TX,USA
4431536,Donovan Edwards,5,Michigan,73,212,4,RB,West Bloomfield,MI,USA
4431538,Giovanni El-Hadi,4,Michigan,77,310,4,OL,Sterling Heights,MI,USA
4431542,TJ Ferguson,5,Alabama,76,330,3,OL,Fort Valley,GA,USA
4431588,Ja'Tavion Sanders,5,Texas,76,243,3,TE,Denton,TX,USA
4432260,Matthew Hibner,4,Michigan,77,254,4,TE,Burke,VA,USA
4432272,Gavin Holmes,3,Texas,71,185,4,DB,New Orleans,LA,USA
