id,name,team,height,weight,year,position,hometown,state,country
4362103,Christian Jones,Texas,78,321,4,OL,Cypress,TX,USA
4426398,David Gbenda,Texas,72,235,4,LB,Katy,TX,USA
4426651,Patrick Bayouth,Texas,76,281,4,TE,Bellaire,TX,USA
4426836,Jett Bush,Texas,74,242,4,LB,Houston,TX,USA
4428116,Isaiah Neyor,Texas,76,220,4,WR,Fort Worth,TX,USA
4428617,T'Vondre Sweat,Texas,76,362,4,DL,Huntsville,TX,USA
4429040,Vernon Broughton,Texas,76,305,4,DL,Houston,TX,USA
4429381,Trill Carter,Texas,72,299,4,DL,Leesburg,GA,USA
4430814,Jake Majors,Texas,75,315,4,OL,Prosper,TX,USA
4430821,Kitan Crawford,Texas,71,206,4,S,Tyler,TX,USA
4430835,Alfred Collins,Texas,77,320,4,DL,Bastrop,TX,USA
4430888,Jerrin Thompson,Texas,72,186,4,S,Lufkin,TX,USA
4430925,Jahdae Barron,Texas,71,200,4,DB,Pflugerville,TX,USA
4431214,Hayden Conner,Texas,77,320,4,OL,Katy,TX,USA
4431588,Ja'Tavion Sanders,Texas,76,243,3,TE,Denton,TX,USA
4432272,Gavin Holmes,Texas,71,185,4,DB,New Orleans,LA,USA
4566088,Jaylan Ford,Texas,75,242,4,LB,Frisco,TX,USA
4567095,Keilan Robinson,Texas,69,188,4,RB,Washington,DC,USA
4567148,Jalen Catalon,Texas,71,205,4,DB,Mansfield,TX,USA
4568075,Juan Davis,Texas,76,235,4,TE,Fort Worth,TX,USA
4569337,Ryan Sanborn,Texas,75,211,1,P,San Diego,CA,USA
4569382,Jordan Whittington,Texas,73,204,4,WR,Cuero,TX,USA
4569409,Gabriel Lozano,Texas,73,185,4,PK,Austin,TX,USA
4570040,Byron Murphy II,Texas,73,308,3,DL,Desoto,TX,USA
4578494,Sawyer Goram-Welch,Texas,76,307,4,DL,Longview,TX,USA
4597500,Adonai Mitchell,Texas,76,196,3,WR,Missouri City,TX,USA
4602199,Charles Wright,Texas,73,203,2,QB,Austin,TX,USA
4602936,Morice Blackwell Jr.,Texas,73,220,4,LB,Arlington,TX,USA
4603190,Casey Cain,Texas,75,200,3,WR,New Orleans,LA,USA
4678008,Jonathon Brooks,Texas,72,207,2,RB,Hallettsville,TX,USA
4683062,Xavier Worthy,Texas,73,172,3,WR,Fresno,CA,USA
4683643,Barryn Sorrell,Texas,76,260,4,LB,New Orleans,LA,USA
4685092,Ryan Watts,Texas,75,213,4,DB,Little Elm,TX,USA
4685240,Malik Agbo,Texas,76,300,2,OL,Federal Way,WA,USA
4685241,BJ Allen Jr.,Texas,72,191,2,S,Aledo,TX,USA
4685260,Kelvin Banks Jr.,Texas,76,320,3,OL,Humble,TX,USA
4685279,Jaydon Blue,Texas,72,200,3,RB,Houston,TX,USA
4685331,Justice Finkley,Texas,74,250,3,LB,Trussville,AL,USA
4685375,Jaylon Guilbeau,Texas,72,190,3,DB,Port Arthur,TX,USA
4685410,Austin Jordan,Texas,72,198,3,DB,Denton,TX,USA
4685497,Maalik Murphy,Texas,77,230,2,QB,Inglewood,CA,USA
4685575,J'Mond Tapp,Texas,75,266,2,DL,Donaldsonville,LA,USA
4685590,Cameron Williams,Texas,77,335,3,OL,Duncanville,TX,USA
4685591,Larry Turner-Gooden,Texas,71,212,2,S,Los Angeles,CA,USA
4685735,Cole Hutson,Texas,77,310,3,OL,Frisco,TX,USA
4685737,Neto Umeozulu,Texas,76,330,2,OL,Allen,TX,USA
4686332,Zac Swanson,Texas,76,282,2,DL,Phoenix,AZ,USA
4686728,Gunnar Helm,Texas,77,250,4,TE,Englewood,CO,USA
4690811,Savion Red,Texas,70,214,3,RB,Grand Prairie,TX,USA
4690975,Tannahill Love,Texas,71,225,4,LB,Fort Worth,TX,USA
4690976,Paxton Anderson,Texas,76,213,4,WR,Dallas,TX,USA
4694152,Max Merril,Texas,76,295,3,OL,Houston,TX,USA
4701935,Terrance Brooks,Texas,72,210,3,DB,Little Elm,TX,USA
4704532,Kristopher Ross,Texas,74,263,2,DL,Houston,TX,USA
4706856,X'Avion Brice,Texas,73,174,2,CB,Arlington,TX,USA
4708062,Cole Lourd,Texas,74,215,4,QB,Los Angeles,CA,USA
4717429,Jaray Bledsoe,Texas,76,290,2,DL,Marlin,TX,USA
4801729,Aaron Bryant,Texas,74,305,2,DL,Southaven,MS,USA
4806290,Connor Robertson,Texas,76,310,2,OL,Austin,TX,USA
4833591,Ky Woods,Texas,69,175,2,RB,League City,TX,USA
4868929,Will Stone,Texas,72,195,3,PK,Austin,TX,USA
4870593,Tausili Akana,Texas,76,220,1,LB,Laie,HI,USA
4870609,CJ Baxter,Texas,73,220,2,RB,Orlando,FL,USA
4870656,Johntay Cook II,Texas,72,185,2,WR,Desoto,TX,USA
4870805,Anthony Hill Jr.,Texas,75,235,2,LB,Denton,TX,USA
4870860,DeAndre Moore Jr.,Texas,72,195,2,WR,Anaheim,CA,USA
4870862,Liona Lefau,Texas,73,225,2,LB,Laie,HI,USA
4870881,Payton Kirkland,Texas,78,350,1,G,Orlando,FL,USA
4870906,Arch Manning,Texas,76,225,1,QB,New Orleans,LA,USA
4870908,Sydir Mitchell,Texas,78,350,1,DL,Paterson,NJ,USA
4870953,Malik Muhammad,Texas,72,190,2,DB,Desoto,TX,USA
4870964,William Randle,Texas,76,240,1,TE,New Orleans,LA,USA
4871044,Derek Williams Jr.,Texas,74,195,2,DB,New Iberia,LA,USA
4871076,Quintrevion Wisner,Texas,72,200,2,RB,Glenn Heights,TX,USA
4878504,Robert Sweeney,Texas,77,300,2,OL,Dallas,TX,USA
4880346,Michael Taaffe,Texas,72,195,3,DB,Austin,TX,USA
4880347,Bert Auburn,Texas,72,185,4,PK,Flower Mound,TX,USA
4880348,Thatcher Milton,Texas,70,185,4,WR,Cypress,TX,USA
4880349,Marshall Landwehr,Texas,72,225,4,LB,Dallas,TX,USA
4880350,Christian Rizzi,Texas,71,215,4,S,Metairie,LA,USA
4889929,Quinn Ewers,Texas,74,210,3,QB,Southlake,TX,USA
4899367,Ryan Niblett,Texas,70,185,1,WR,Houston,TX,USA
4899376,Jaydon Chatman,Texas,76,300,1,OL,Harker Heights,TX,USA
4899478,Derion Gullette,Texas,75,235,1,LB,Marlin,TX,USA
4908867,Ethan Burke,Texas,78,260,3,LB,Austin,TX,USA
4911869,Lance St. Louis,Texas,72,220,3,S,Gilbert,AZ,USA
4917985,Connor Stroh,Texas,79,350,1,OL,Frisco,TX,USA
4918101,S'Maje Burrell,Texas,72,219,1,LB,Fort Worth,TX,USA
4918129,Colton Vasek,Texas,77,260,1,LB,Austin,TX,USA
4918430,Trevor Goosby,Texas,79,315,1,OL,Melissa,TX,USA
4919036,Andre Cojoe,Texas,78,340,1,OL,Grand Prairie,TX,USA
4921273,Billy Walton III,Texas,75,225,1,DE,Grand Prairie,TX,USA
4921318,Spencer Shannon,Texas,79,255,1,TE,San Clemente,CA,USA
4922989,Jelani McDonald,Texas,74,205,2,DB,Waco,TX,USA
4950398,Warren Roberson,Texas,72,190,1,DB,Red Oak,TX,USA
5081965,Joe Tatum,Texas,71,185,3,QB,Los Angeles,CA,USA
5081966,Colin Page,Texas,72,210,3,RB,Austin,TX,USA
5081967,Carson Marshall,Texas,72,185,3,DB,Katy,TX,USA
5081969,Quinn Merritt,Texas,73,190,3,WR,Los Gatos,CA,USA
5081970,Graham Gillespie,Texas,72,200,3,DB,Cypress,TX,USA
5081971,Remy Patson,Texas,69,170,3,WR,Austin,TX,USA
5081972,Hamilton McMartin,Texas,72,175,3,WR,Katy,TX,USA
5081973,Ben Armstrong,Texas,75,285,3,DL,Leander,TX,USA
5081975,Charles Feris,Texas,74,205,3,PK,Houston,TX,USA
5081976,Michael Flanagan,Texas,74,225,3,LB,Frisco,TX,USA
5081977,DJ Campbell,Texas,75,330,3,OL,Arlington,TX,USA
5081978,Rick McBroom,Texas,74,290,3,OL,Fort Worth,TX,USA
5081980,Gus Asel,Texas,73,226,4,TE,Frisco,TX,USA
5081981,Reece Beauchamp,Texas,74,190,3,WR,Austin,TX,USA
5098809,Winston Smith,Texas,73,202,2,LB,Houston,TX,USA
5150770,JaFaar Johnson Jr.,Texas,71,186,2,DB,Bastrop,TX,USA
5150771,Tate Haver,Texas,72,215,2,S,Westlake Village,CA,USA
5150773,Rett Andersen,Texas,71,190,2,WR,San Antonio,TX,USA
5150775,Bryce Chambers,Texas,73,205,2,WR,Austin,TX,USA
5150776,Ty Boatright,Texas,72,175,2,WR,Kingwood,TX,USA
5150777,Ian Ratliff,Texas,71,185,2,P,Humble,TX,USA
5150778,Brooks Kieschnick Jr.,Texas,75,270,2,OL,San Antonio,TX,USA
5150779,Brady Sarkisian,Texas,73,230,2,LB,Newport Beach,CA,USA
5150780,Reed Malphurs,Texas,78,208,1,PK,Dallas,TX,USA
