fid,PNT1N,PNT2N,ID1,ID2,distance
"1",players,schools,"4360423","4",3261.76191717588
"2",players,schools,"4361025","1",2447.65923620888
"3",players,schools,"4361094","4",1471.23107823721
"4",players,schools,"4361095","4",1231.45129876744
"5",players,schools,"4361100","4",8.76261136714766
"6",players,schools,"4361105","4",3334.39524441029
"7",players,schools,"4361107","4",42.9465032538595
"8",players,schools,"4361109","4",1606.56899744213
"9",players,schools,"4361112","4",337.554721220907
"10",players,schools,"4361113","4",915.813427135774
"11",players,schools,"4361991","1",556.69076667802
"12",players,schools,"4362103","3",143.082479747087
"13",players,schools,"4363417","2",319.153059030362
"14",players,schools,"4369467","1",728.765469154086
"15",players,schools,"4372062","1",989.537348705463
"16",players,schools,"4372065","1",1240.7307503749
"17",players,schools,"4374280","4",2510.95118481286
"18",players,schools,"4426352","4",912.444128736728
"19",players,schools,"4426380","4",3333.36566245582
"20",players,schools,"4426398","3",137.929212984086
"21",players,schools,"4426450","1",738.410306097839
"22",players,schools,"4426479","1",708.83538902387
"23",players,schools,"4426638","1",149.024679940808
"24",players,schools,"4426651","3",163.982787564326
"25",players,schools,"4426677","2",376.128819086158
"26",players,schools,"4426821","4",3343.24799289774
"27",players,schools,"4426836","3",168.936567170249
"28",players,schools,"4427140","1",316.681565082554
"29",players,schools,"4427160","4",1257.99273488123
"30",players,schools,"4427170","4",1196.54844413127
"31",players,schools,"4427219","4",8.76261136714766
"32",players,schools,"4427294","4",1306.32006758915
"33",players,schools,"4427448","1",1251.051950207
"34",players,schools,"4427569","4",913.808348884188
"35",players,schools,"4427676","4",19.2705341334864
"36",players,schools,"4427736","1",147.288174388344
"37",players,schools,"4428116","3",202.193215755224
"38",players,schools,"4428144","1",1485.42379398461
"39",players,schools,"4428414","1",877.48702349598
"40",players,schools,"4428617","3",155.006311810251
"41",players,schools,"4428713","4",1481.4994398704
"42",players,schools,"4428726","4",35.076951055314
"43",players,schools,"4428989","2",918.460020700981
"44",players,schools,"4429000","1",728.59717526989
"45",players,schools,"4429001","2",697.546915389882
"46",players,schools,"4429005","1",111.592683417253
"47",players,schools,"4429033","2",2153.00160592223
"48",players,schools,"4429040","3",168.936567170249
"49",players,schools,"4429058","1",1221.30907829694
"50",players,schools,"4429089","4",125.337860590728
"51",players,schools,"4429096","1",511.977855359817
"52",players,schools,"4429121","1",870.77326487831
"53",players,schools,"4429139","1",37.7277616698541
"54",players,schools,"4429186","4",7.0174564250144
"55",players,schools,"4429187","2",255.801265912353
"56",players,schools,"4429381","3",945.338365473546
"57",players,schools,"4429490","4",14.288250874642
"58",players,schools,"4429552","1",825.648055663391
"59",players,schools,"4429694","4",1292.37888004812
"60",players,schools,"4429913","1",556.69076667802
"61",players,schools,"4430565","4",2269.75785298427
"62",players,schools,"4430616","4",1369.19059598642
"63",players,schools,"4430637","4",2410.82109549546
"64",players,schools,"4430638","1",218.70478296497
"65",players,schools,"4430810","4",857.357042428016
"66",players,schools,"4430814","3",249.079272001671
"67",players,schools,"4430821","3",237.260559297345
"68",players,schools,"4430834","4",1038.03538875452
"69",players,schools,"4430835","3",30.1535997014128
"70",players,schools,"4430876","4",1428.25717996291
"71",players,schools,"4430888","3",224.464757768681
"72",players,schools,"4430915","1",1477.43883426321
"73",players,schools,"4430925","3",14.632101843441
"74",players,schools,"4431212","1",596.182154768716
"75",players,schools,"4431214","3",137.929212984086
"76",players,schools,"4431256","1",2477.49671605482
"77",players,schools,"4431264","4",553.843682778931
"78",players,schools,"4431288","2",886.901979317616
